geometry,rmse_lse_m,rmse_ekf_m
N=2, widespread (corners),573.0468728435702,26.92909815287411
N=2, close pair,279.5569785390186,871.4065113015605
N=3, equilateral triangle,3.2030113476022075,4.521270452459574
N=3, collinear (degenerate),3.892807542722247,4.3098102301653896
N=4, square (corners),2.865932260223601,3.9265554716802127
N=4, clustered,38.132568299280486,31.014918427651757
