geometry,rmse_lse_overall_mean_m,rmse_lse_overall_std_m,rmse_ekf_overall_mean_m,rmse_ekf_overall_std_m,rmse_ekf_smooth_mean_m,rmse_ekf_smooth_std_m,rmse_ekf_turn_mean_m,rmse_ekf_turn_std_m
N=2, widespread (corners),573.4569560436554,2.58211196978516,28.367068557703245,3.572384154183706,26.32686511094154,4.255529459780359,38.29048723933475,3.9097031553113943
N=2, close pair,326.4886924746043,67.52331949167751,605.001287036617,194.10989351894438,589.748084193386,190.10682164464413,691.4438419881881,221.63456782820532
N=3, equilateral triangle,3.55669621865434,0.16880685888578936,4.763997719467827,0.17939641238666593,2.9184150988411774,0.16879913178295775,10.537859429936061,0.5658934553084753
N=3, collinear (degenerate),4.157384270186407,0.217975114051536,4.481314580520277,0.17947460358285425,3.2780543949030796,0.21779717085898964,8.840675129784255,0.46376206009868937
N=4, square (corners),3.0081646152715757,0.1233926682594776,4.103971696012606,0.17022088311321373,2.5197480913772012,0.13070648197690612,9.070122112661847,0.5126840707875505
N=4, clustered,40.43550758586997,2.8487799574676034,38.95054848704611,3.8433156093447063,36.903595822512855,3.9188829267211394,49.54946654478557,6.598267329732373
